Height,Weight
190,72.4
165,53.2
164,47.9
184,62.6
155,40
155,40
163,46.2
185,69.3
162,42.7
176,45.6
164,41.5
150,40
160,41.4
159,40
163,50.6
155,40
174,62.8
188,70
166,50.9
184,51.4
157,46.8
185,60.2
168,52.9
173,45.2
186,62.7
164,48.2
168,60.7
156,40
174,51.8
173,61
160,40.4
167,51.2
154,40
165,44.5
160,40
190,65.9
185,62.2
153,43.4
164,50.8
175,44.2
167,60.4
186,67.3
170,52
179,63.7
159,42.1
185,65.7
184,59.8
187,70.6
175,40.6
158,57.5
182,49
157,41.5
159,40
177,47.8
188,68.8
179,59.2
183,59.7
150,43.6
157,40
167,41.5
171,56
179,61
150,47.7
166,44
182,59.6
156,40
190,62.2
188,71.5
162,50.5
184,68.8
183,66.8
181,54.3
151,41.1
169,53.4
165,58.3
155,44
155,40
184,49.5
158,46.5
185,66.1
160,42
177,67.6
163,54.4
162,40.3
169,42.5
173,57.9
178,61.5
165,42.9
164,47.2
185,61.7
164,45.5
190,64.4
153,40
171,64
154,40
181,57.9
163,40
186,59.6
186,51.6
176,56.5
